rank,player,lb_mmr,current_mmr,avg_place,games
106,jff,12554,12554,3.451219512195122,328
107,slib,12498,12498,3.317757009345794,214
108,alacrity,12465,12465,3.6123595505617976,801
109,much2pro4you,12440,12440,3.7878548895899056,634
110,alina,12400,12400,3.505128205128205,390
111,aventurine,12383,12383,3.6653225806451615,124
112,fluderutus,12375,12375,3.6797520661157024,484
113,returns,12353,12353,2.6557377049180326,61
114,willway,12294,12294,3.608695652173913,621
115,huyafritqn,12282,12282,3.534974093264249,386
116,nicknem,12256,12256,3.576,375
117,pyrok4,12233,12233,3.6315789473684212,399
118,évoli,12211,12211,3.3656387665198237,227
119,guachs,12211,12211,3.712121212121212,330
120,markgray,12195,12195,3.867816091954023,696
121,conjohn,12194,12194,3.795053003533569,566
122,lordkéké,12190,12190,3.7459016393442623,671
123,raskinz,12183,12183,3.7470308788598574,421
124,chum,12171,12171,3.6467780429594274,419
125,laozhang91,12158,12158,3.3881278538812785,219
126,legend99,12153,12153,3.5938511326860842,309
127,dofmxakoxjh,12143,12143,3.5824561403508772,285
128,djeloww,12139,12139,3.605182926829268,328
129,пивнойзверь,12128,12128,3.8025099075297226,757
130,sharp,12127,12127,3.8081534772182253,417
131,maverick,12124,12124,3.3562753036437245,247
132,kaito1412,12120,12120,3.7561247216035634,449
133,perbet,12107,12107,3.7695961995249405,421
134,zwiiinter,12094,12094,3.775213675213675,585
135,wisx,12055,12055,3.6217257318952236,649
136,kuositovélez,12053,12053,3.729496402877698,695
137,shadowstorm,12038,12038,3.919811320754717,636
138,inopon,12024,12024,3.646198830409357,342
139,wtybill,12019,12019,3.322429906542056,214
140,arbuzarbuz,11991,11991,3.607929515418502,454
141,harambelover,11980,11980,3.7979591836734694,490
142,physikbar,11947,11947,3.463035019455253,257
143,lulu,11929,11929,3.5833333333333335,384
144,lilacloa,11924,11924,3.356115107913669,139
145,clarss,11896,11896,3.7922437673130194,722
146,walterlele,11893,11893,3.6752701080432173,833
147,dragonmaouss,11882,11882,3.6618257261410787,241
148,tomyk,11863,11863,3.928169014084507,710
149,monkey,11824,11824,3.735215053763441,372
150,alones,11818,11818,3.758720930232558,516
151,evyatar,11787,11787,3.796448087431694,366
152,brutt,11786,11786,3.924867724867725,945
